nm_ins;descr;evid_clas_cat;categ;evid_territ;territ;evid_gr_impl;gr_impl;evid_res;res;evid_part_cid;tp_part_cidada;evid_coprod;coprod_cid;evid_orq_mult_IA;uso_evid_orq_mult_IA;autor;ano;titulo;referencia;_timestamp;input_prompt;input_document_text;input_document_size;_run;_error;_raw
Orçamento participativo;Processo que integra a participação cidadã no ciclo orçamentário público.;Citizen consultation and ideation, crowdsourcing and co-delivery, volunteering for public service, participatory budgeting;"Coprodução de Valor Público; Orçamento Participativo";Chart 1. Digital Government coevolution flow;"país; cidade";The implementation of these models is visible in countries that have adopted the so -called New Public Administration;implementado com resultados de coprodução ou impacto de valor público;aims to increase the access, convenience and effectiveness of public systems, involve citizens in political and civil affairs;Aumento da transparência, accountability, engajamento cidadão em assuntos políticos e civis, e busca por políticas públicas de alto valor.;Reach out to citizens, give citizens a voice, facilitate citizen oversight;coletiva;Citizen consultation and ideation, crowdsourcing and co-delivery, volunteering for public service, participatory budgeting;Participação ativa em orçamentos, consultas públicas e ideacão de serviços.;nenhum;nenhum;L. Zaqueu;2024;Rev. Cient. Sist. Inform. 4(2): e690;"ZAQUEU, L. Rev. Cient. Sist. Inform. 4(2): e690; ( Jul-Dec, 2024). e-ISSN: 2709-992X";2,02605E+13;New Prompt;Zaqueu - 2024 - Challenges and opportunities for digital transformation in Mozambique's higher education institution.pdf_part_002;12000;gemini-3.1-flash-lite-preview;;
Big data e análises para tomada de decisão;Uso de análise de grandes volumes de dados para suporte à decisão governamental e reforma.;Transformation includes the internal transformation of the government... Cloud computing, big data and analyses;"Automatização e IA; Governança Digital";Chart 1. Digital Government coevolution flow;país;The implementation of these models is visible in countries that have adopted the so -called New Public Administration;implementado em produção;intelligent decision-making. Transformational government, intelligent government with data from the entire public administration.;Reformas governamentais, integração de agências, melhoria na entrega de serviços e tomada de decisão inteligente.;nenhum;nenhum;nenhum;nenhum;intelligent government with data from the entire public administration;"What: Análise de Big Data; Why: Inteligência na decisão; Where: Administração Pública; When: Fase de Transformação; Who: Órgãos governamentais; How: Processamento de dados administrativos; How much: não informado";L. Zaqueu;2024;Rev. Cient. Sist. Inform. 4(2): e690;"ZAQUEU, L. Rev. Cient. Sist. Inform. 4(2): e690; ( Jul-Dec, 2024). e-ISSN: 2709-992X";2,02605E+13;New Prompt;Zaqueu - 2024 - Challenges and opportunities for digital transformation in Mozambique's higher education institution.pdf_part_002;12000;gemini-3.1-flash-lite-preview;;
Parcerias Público-Privadas (PPPs);Modelos de colaboração entre setores público e privado com a responsabilidade de prestar serviços para o benefício do cidadão e superar limitações do governo local.;public -private partnerships are born, with the responsibility of providing services for the benefit of the citizen;"Coprodução de Valor Público;Governança Digital";late 1990s saw the promotion of the concept of public value in the United States, Europe, Australia and New Zealand;"Estados Unidos;Europa;Austrália;Nova Zelândia";it became prominent among researchers because it was the only way to understand government activity, policy formulation and service provision;implementado com resultados de coprodução ou impacto de valor público;As such, the task of creating public value through public -private partnerships is not only institutional, as it aims to guide interactions between the public and the private;Criação de valor público através da orientação de interações entre público e privado e superação de limitações governamentais locais.;so that the services provided actually respond to society’s needs, and that the citizen is participative in the decision -making process.;coletiva;the citizen is participative in the decision -making process;Participação no processo de tomada de decisão e cocriação de estratégias para melhoria de eficiência na entrega de serviços.;nenhum;nenhum;Moore, M.;2007;Creating public value through public -private partnerships;MOORE, M. Creating public value through public -private partnerships. [S.l.: s.n.], 2007.;2,02605E+13;New Prompt;Zaqueu - 2024 - Challenges and opportunities for digital transformation in Mozambique's higher education institution.pdf_part_003;12000;gemini-3.1-flash-lite-preview;;
Projeto um estudante - um computador;Iniciativa para incentivar a maestria e uso de TICs por estudantes através do financiamento de laptops para alunos de STEM em situação de vulnerabilidade financeira.;seeks to encourage mastery in the use of ICTs;"Cidadania Digital;Governança Digital";defined by the Ministry of Science and Technology (MCT -MZ);Moçambique;The Ministry of Science, Technology, and Higher Education (MCTES) in partnership with public and private higher education institutions (HEIs) ... will finance access;em desenvolvimento para produção;this digital transformation process has enormous potential to enable, in a timely manner, with efficiency and effectiveness, access to information for society;Melhoria da interação entre cidadãos e governo, aumento da eficiência no acesso à informação e promoção do desenvolvimento nacional.;as it improves interaction between citizens, between citizens and the government;individual;participação em processos de ensino, aprendizagem e pesquisa;O estudante atua como coautor do processo de aprendizagem digital e transformação tecnológica através do uso do dispositivo financiado.;nenhum;nenhum;Zaqueu, L.;2024;Rev. Cient. Sist. Inform. 4(2): e690;"ZAQUEU, L. Rev. Cient. Sist. Inform. 4(2): e690; ( Jul-Dec, 2024).";2,02605E+13;New Prompt;Zaqueu - 2024 - Challenges and opportunities for digital transformation in Mozambique's higher education institution.pdf_part_003;12000;gemini-3.1-flash-lite-preview;;
Plataformas de E-Government;Virtual platforms used by public institutions to streamline management processes, facilitate citizen life, and allow virtual access to public services.;e-government aims, through the use of ICTs, to ensure access and delivery of information and services by the government to individuals.;"Governo Digital Proativo;Canal inteligente de serviços;Coprodução de Valor Público";Municipal Council of Matola, Historical Archive of Mozambique, Informatics Center, Faculty of Mathematics and Informatics at Eduardo Mondlane University, which is public, and Catholic University of Maputo;"cidade;país";Apesar de gestores responderem positivamente, em 95,7%, que as IPs possuem plataformas virtuais para agilizar o processo de gestão;implementado em produção;Even with banking services internally for property title regularization, services are slow. The tools may exist, but there is a lack of professionals to use the platforms.;Apesar de 95,7% dos gestores afirmarem possuir plataformas, há destruição de valor público devido à ineficiência operacional, lentidão nos serviços presenciais e falta de profissionais capacitados para operar as ferramentas.;o cidadão's main concern is to request service from the Administration and have a quick response, using different website channels and portals.;individual;e-government aims, through the use of ICTs, to ensure access and delivery of information and services by the government to individuals.;O cidadão interage virtualmente com o governo para solicitar serviços e obter respostas rápidas através de portais e canais digitais.;;nenhum;Zaqueu, L.;2024;Rev. Cient. Sist. Inform. 4(2): e690;"ZAQUEU, L. (2024). Rev. Cient. Sist. Inform. 4(2): e690; (Jul-Dec, 2024). e-ISSN: 2709-992X.";2,02605E+13;New Prompt;Zaqueu - 2024 - Challenges and opportunities for digital transformation in Mozambique's higher education institution.pdf_part_004;12000;gemini-3.1-flash-lite-preview;;
Integração de Plataformas (IoT) em HEIs;Integração de plataformas tecnológicas, como Internet das Coisas (IoT), nos ambientes de ensino, aprendizagem e pesquisa das Instituições de Ensino Superior (HEIs).;HEIs must integrate platforms into teaching and learning environments... greater investments in platforms, for example, IoT;"Governo Digital;Coprodução de Valor Público";"Eduardo Mondlane University; Catholic University of Maputo";país;digital education is understood as education in the digital age... HEIs, digital transformation requires investment;em desenvolvimento para produção;Digital transformation brings pressure on the main mission of educational organizations... ensuring the training of professionals ready to meet the demands of the so-called 4th Industrial Revolution.;Busca elevar a maturidade digital para treinar profissionais capazes de criar valores públicos e atender às demandas da 4ª Revolução Industrial.;Active participation by all is relevant in HEIs, requiring greater investments in platforms;coletiva;engagement of teachers must be present from conception, development, and testing of these applications and services.;Docentes atuam na concepção, desenvolvimento e teste de aplicações de IoT e serviços educacionais dentro das instituições.;;nenhum;Zaqueu, L.;2024;Rev. Cient. Sist. Inform. 4(2): e690;"ZAQUEU, L. (2024). Rev. Cient. Sist. Inform. 4(2): e690; (Jul-Dec, 2024). e-ISSN: 2709-992X.";2,02605E+13;New Prompt;Zaqueu - 2024 - Challenges and opportunities for digital transformation in Mozambique's higher education institution.pdf_part_004;12000;gemini-3.1-flash-lite-preview;;
Plataformas de Governo Digital (Front-office e Back-office);Sistemas de interação direta com usuários (front-office) e racionalização de processos administrativos (back-office) para facilitar a vida do cidadão e o acesso online a serviços.;O texto menciona que digitalizar processos é o ideal para promover melhorias, permitindo que o governo supere obstáculos e operacionalize o governo digital.;"Governança Digital; Canal inteligente de serviços; Coprodução de Valor Público";O estudo menciona o caso de Moçambique e o Município da Matola.;"Moçambique; Matola";Table 12: 28.6% Yes, 42.9% No, 28.6% Maybe. O autor nota que, embora existam ideias, a execução muitas vezes falha e faltam serviços básicos como downloads de documentos.;em desenvolvimento para produção;O texto destaca que a falta de plataformas completas resulta em 'enormes filas nas instituições' e ineficiência, configurando uma destruição de valor público, enquanto o uso adequado permitiria serviços mais próximos aos cidadãos.;A ausência de plataformas funcionais gera ineficiência administrativa e filas, enquanto o potencial de uso (segundo 71.4% dos entrevistados) seria a melhoria na entrega de serviços e aproximação com o cidadão.;O texto refere-se à interação com usuários e cidadãos para acesso a serviços públicos.;individual;O texto não descreve uma etapa formal de cocriação, mas a necessidade de participação ativa na transformação digital dos serviços.;nenhum;O documento menciona a necessidade de ferramentas digitais e transformação, mas não cita o uso de Inteligência Artificial ou sistemas multiagentes.;nenhum;Zaqueu, L.;2024;Rev. Cient. Sist. Inform. 4(2): e690;Zaqueu, L. (2024). Governança digital e a criação de valor público. Rev. Cient. Sist. Inform., 4(2), e690.;2,02605E+13;New Prompt;Zaqueu - 2024 - Challenges and opportunities for digital transformation in Mozambique's higher education institution.pdf_part_005;12000;gemini-3.1-flash-lite-preview;;
Portal RS Móvel;Plataforma de serviços públicos digitais do Rio Grande do Sul focada na eficiência do poder executivo.;a construça o de um governo eletro nico eficiente pelo poder executivo no Brasil: um olhar sobre o portal “RS Mo vel” do Rio Grande do Sul;"Governo Digital Proativo; Canal inteligente de serviços";um olhar sobre o portal “RS Mo vel” do Rio Grande do Sul;estado(UF);a construça o de um governo eletro nico eficiente;implementado em produção;A construça o de um governo eletro nico eficiente pelo poder executivo;Aumento da eficiência na prestação de serviços públicos pelo poder executivo estadual.;o portal permite o acesso do cidada o aos serviços do governo;individual;interação via plataforma para acesso a serviços;O cidadão utiliza a plataforma para demandar serviços públicos de forma direta.;nenhum;nenhum;Mendonça, F., & Zuliani, C.;2015;A construça o de um governo eletro nico eficiente pelo poder executivo no Brasil: um olhar sobre o portal “RS Mo vel” do Rio Grande do Sul;"MENDONÇA, F.; ZULIANI, C. A construção de um governo eletrônico eficiente pelo poder executivo no Brasil: um olhar sobre o portal “RS Móvel” do Rio Grande do Sul. Revista Direito Mackenzie, v. 9, n. 2, 2015.";2,02605E+13;New Prompt;Zaqueu - 2024 - Challenges and opportunities for digital transformation in Mozambique's higher education institution.pdf_part_006;4264;gemini-3.1-flash-lite-preview;;
Serviços Digitais (Modelo de Valor Público);Criação de valor público por meio de serviços digitais centrados no usuário.;Criando valor pu  blico em serviços digitais: Uma proposta de conceito;"Coprodução de Valor Público; Governança Digital";Contexto da Administração Pública brasileira;país;Uma proposta de conceito;proposto;proposta de conceito para a geração de valor público;Definição teórica de como serviços digitais podem resultar em valor público tangível e intangível.;serviços digitais... uma proposta de conceito;coletiva;O envolvimento dos cidadãos na cocriação de serviços digitais para garantir que o valor seja percebido;O cidadão participa através da co-design de funcionalidades que atendam necessidades reais.;nenhum;nenhum;Lopes, K. M. G., Luciano, E. M., & Macadar, M. A.;2018;Criando valor pu  blico em serviços digitais: Uma proposta de conceito;"LOPES, K. M. G.; LUCIANO, E. M.; MACADAR, M. A. Criando valor público em serviços digitais: Uma proposta de conceito. Gestão.Org, v. 16, ES, p. 207-221, 2018.";2,02605E+13;New Prompt;Zaqueu - 2024 - Challenges and opportunities for digital transformation in Mozambique's higher education institution.pdf_part_006;4264;gemini-3.1-flash-lite-preview;;
WeChat groups;Digital governance tool used in rural China for information exchange, policy dissemination, village affairs disclosure, and public opinion gathering.;The application of WeChat groups in China, particularly in rural areas where social networks are well established, has yielded positive outcomes. As an emerging information exchange platform, WeChat groups have demonstrated their efficacy in facilitating communication and knowledge sharing.;"Coprodução de Valor Público; Cidadania Digital; Canal inteligente de serviços; Governança Digital; Comunicação/Whatsapp";This study utilizes data from the 2020 China Rural Revitalization Survey (CRRS) and employs the ordered probit model to conduct a comprehensive analysis of the intrinsic relationship and in ﬂuencing mechanism between WeChat groups and political trust in rural China.;China;In 2019, the Chinese government published the Guiding Opinions on Strengthening and Improving Rural Governance, which explicitly recommended the formation of 'villagers’ WeChat groups' and 'rural of ﬁcial accounts';implementado com resultados de coprodução ou impacto de valor público;WeChat groups signi ﬁcantly enhance rural political trust through three pathways: strengthening rural governance performance, effectively curbing rural corruption, and expanding villagers ’ political participation.;Enhancement of political trust, improved governance performance, reduction in corruption, and increased transparency and public participation in rural community affairs.;At the same time, villagers can quickly access various information released by the government through WeChat groups and actively participate in discussions on community affairs.;coletiva;villagers can quickly access various information released by the government through WeChat groups and actively participate in discussions on community affairs.;Villagers use the platform to monitor project progress, access disclosed village affairs, engage in discussions on community affairs, and participate in decision-making.;;nenhum;Limin Zhao, Xu Ma, Shi Jiao, Chengming Hu;2025;How WeChat groups enhance political trust in rural China: evidence from the China Rural Revitalization Survey;ZHAO, Limin et al. How WeChat groups enhance political trust in rural China: evidence from the China Rural Revitalization Survey. Humanities and Social Sciences Communications, v. 12, n. 1209, 2025.;2,02605E+13;New Prompt;Zhao et al. - 2025 - How WeChat groups enhance political trust in rural China evidence from the China Rural Revitalizati.pdf_part_000;12000;gemini-3.1-flash-lite-preview;;
WeChat groups;Digital communication platform used as a tool for rural governance, information dissemination, public participation, and supervision of local cadres.;WeChat groups, as a social media platform, have become an important tool and means of digital governance in rural China... helping to improve rural governance performance.;"Coprodução de Valor Público; Canal inteligente de serviços; Insights e Dados para Participação Cidadã; Governança Digital; Comunicação/Whatsapp";In the actual context of rural governance in China;China;the establishment of rural WeChat groups can significantly enhance villagers’ political trust level.;implementado com resultados de coprodução ou impacto de valor público;WeChat groups... help to enhance political trust... allow villagers to timely understand the progress of grassroots work... strengthening the effectiveness of villagers’ supervision.;Enhancement of political trust, improved response speed and quality of rural governance, increased transparency, reduction of corruption, and stimulation of villagers' consciousness and initiative.;Villagers can also timely understand the dynamics of their villages through WeChat groups... WeChat groups, as an important channel for collecting villagers’ opinions and suggestions;coletiva;WeChat groups, as an important channel for collecting villagers’ opinions and suggestions, can achieve effective communication between the government and villagers;Villagers participate by monitoring the actions of cadres, providing feedback, sharing information, and offering suggestions on government affairs within the WeChat group platform.;None mentioned.;nenhum;Humanities and Social Sciences Communications;2025;The impact of digital technology on rural political trust;Humanities and Social Sciences Communications (2025). 12:1209. https://doi.org/10.1057/s41599-025-05331-8;2,02605E+13;New Prompt;Zhao et al. - 2025 - How WeChat groups enhance political trust in rural China evidence from the China Rural Revitalizati.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
WeChat groups for rural government affairs;Public communication platforms initiated and established by village cadres to disseminate government-related information and promote government-citizen interaction.;WeChat groups have also expanded the path for villagers’ political participation, providing a platform and opportunity for positive interaction between government and civilians in rural governance activities.;"Coprodução de Valor Público; Cidadania Digital; Canal inteligente de serviços; Insights e Dados para Participação Cidadã; Governança Digital; Comunicação/Whatsapp";The data of this study comes from the China Rural Revitalization Survey (CRRS) database... covers 10 provinces (regions) in China;China;This study uses whether the village has WeChat group usage as an indicator to measure WeChat groups.;implementado em produção;WeChat groups can actively promote public political participation, thereby enhancing rural political trust... Villagers can freely express their opinions, provide feedback, and make suggestions in WeChat groups, and village cadres can quickly respond to villagers’ concerns.;"Enhancement of rural political trust; strengthening of the subject status of villagers in rural governance; shaping of public spirit and village identity; improved response time of village cadres to villagers' concerns; reduction of the information gap between government and citizens.";Villagers can freely express their opinions, provide feedback, and make suggestions in WeChat groups;individual;Villagers can freely express their opinions, provide feedback, and make suggestions in WeChat groups, and village cadres can quickly respond to villagers’ concerns, forming an effective dialog mechanism;Os cidadãos participam ativamente da governança rural ao expressar opiniões, fornecer feedback e oferecer sugestões sobre assuntos públicos diretamente aos gestores locais através da plataforma, influenciando o processo de decisão local.;nenhum;nenhum;Desconhecido (Artigo selecionado);2025;Humanities and Social Sciences Communications;Humanities and Social Sciences Communications, 2025, 12:1209. https://doi.org/10.1057/s41599-025-05331-8;2,02605E+13;New Prompt;Zhao et al. - 2025 - How WeChat groups enhance political trust in rural China evidence from the China Rural Revitalizati.pdf_part_002;12000;gemini-3.1-flash-lite-preview;;
WeChat groups;A digital communication platform used at the village level to facilitate information exchange, governance, and interaction between residents and village cadres.;The establishment of rural WeChat groups on villagers’ political trust... WeChat groups affect villagers’ political trust through three mediating variables: governance performance, corruption suppression, and political participation.;"Coprodução de Valor Público; Insights e Dados para Participação Cidadã; Comunicação/Whatsapp";the establishment of rural WeChat groups on villagers;rural areas;From the analysis, it can be seen that before and after adding control variables, there is a significantly positive correlation... Hypothesis 1 has been verified.;implementado com resultados de coprodução ou impacto de valor público;the establishment of the WeChat group still has a significant and positive impact on the villagers’ political trust at the 1% level.;The establishment of WeChat groups enhances political trust by improving governance performance, reducing corruption perception, and increasing political participation frequencies among villagers.;the use of WeChat groups has a significant positive impact on the political participation of rural residents;"individual; coletiva";the establishment of WeChat groups can enhance the political trust of rural residents by promoting their political participation;Villagers participate in village meetings and governance discussions via the group, which directly influences political trust and cadre accountability.;nenhum;nenhum;Not specified in snippet;2025;Not specified in snippet;HUMANITIES AND SOCIAL SCIENCES COMMUNICATIONS | (2025) 12:1209 | https://doi.org/10.1057/s41599-025-05331-8;2,02605E+13;New Prompt;Zhao et al. - 2025 - How WeChat groups enhance political trust in rural China evidence from the China Rural Revitalizati.pdf_part_003;12000;gemini-3.1-flash-lite-preview;;
WeChat groups;Digital platforms functioning as Internet-based instant-messaging tools for information exchange, policy announcements, agricultural technical information, and feedback collection between rural residents and grassroots governments.;"The establishment of WeChat groups has a significantly positive impact on the political trust of villagers; WeChat groups mainly enhance rural people's political trust in the grassroots government through three path mechanisms: improving government governance performance, curbing political corruption, and promoting villagers' political participation.";"Coprodução de Valor Público; Cidadania Digital; Canal inteligente de serviços; Governança Digital; Comunicação/Whatsapp";In rural areas of China, the improvement of network conditions is the result of policy promotion.;China (rural areas);The results of Model (8) show that the establishment of the WeChat group has a significantly positive impact on the political trust of villagers at the 1% significance level.;implementado com resultados de coprodução ou impacto de valor público;The establishment of rural WeChat groups can still significantly affect the villagers’ political trust. ... WeChat groups can enhance the political trust of rural residents by promoting the suppression of corruption.;Enhancement of political trust among rural residents. Improved government governance efficiency, increased public satisfaction, suppression of official corruption, and facilitation of political participation.;WeChat groups can also serve as a channel for reporting corrupt behavior, enabling timely exposure and handling of such behavior, thereby further enhancing the trust of rural residents in the government.;individual;collecting and providing timely feedback on villagers’ opinions and suggestions, thereby effectively improving governance efficiency and public satisfaction;Villagers use the platform to receive policy information, provide feedback on local affairs, and report corrupt behavior, acting as direct participants in governance oversight.;nenhum;nenhum;;2025;Humanities and Social Sciences Communications;HUMANITIES AND SOCIAL SCIENCES COMMUNICATIONS. (2025). 12:1209. https://doi.org/10.1057/s41599-025-05331-8;2,02605E+13;New Prompt;Zhao et al. - 2025 - How WeChat groups enhance political trust in rural China evidence from the China Rural Revitalizati.pdf_part_004;12000;gemini-3.1-flash-lite-preview;;
WeChat groups for rural governance;Utilization of WeChat groups in villages to disseminate information, transmit data, facilitate political participation, and serve as a digital village affairs bulletin board.;The extensive use of WeChat groups in villages for the dissemination of information... can effectively serve to curtail corruption... Third, WeChat groups can enhance the political trust of rural residents by promoting their political participation.;"Coprodução de Valor Público; Cidadania Digital; Canal inteligente de serviços; Comunicação/Whatsapp";In the rural society... In the rural areas of China;China;the establishment of WeChat groups is more likely to enhance the political trust... Research has found that the establishment of WeChat groups is beneficial in enhancing political trust in rural China.;implementado com resultados de coprodução ou impacto de valor público;WeChat groups not only directly enhance the political trust of villagers, but also indirectly achieve this goal through various means, including improving rural governance performance, promoting corruption suppression, and encouraging villagers’ political participation.;The instrument created public value by enhancing political trust, reducing corruption, increasing administrative transparency, and enabling active participation in rural governance, particularly among elderly and low-educated populations in central and western regions.;enabling them to actively participate in rural governance and express their wishes and demands.;individual;WeChat groups provide villagers with a convenient platform for political participation, enabling them to actively participate in rural governance and express their wishes and demands.;Villagers use the platform to receive real-time policy interpretations, provide feedback on issues, and participate in local governance processes, which feeds back into government performance.;;nenhum;Humanities and Social Sciences Communications;2025;Not specified (Article 12:1209);HUMANITIES AND SOCIAL SCIENCES COMMUNICATIONS. (2025). 12:1209. https://doi.org/10.1057/s41599-025-05331-8;2,02605E+13;New Prompt;Zhao et al. - 2025 - How WeChat groups enhance political trust in rural China evidence from the China Rural Revitalizati.pdf_part_005;12000;gemini-3.1-flash-lite-preview;;
China Rural Revitalization Survey (CRRS);A comprehensive survey dataset conducted by the Rural Development Institute, Chinese Academy of Social Sciences, documenting rural social and economic conditions.;The data collected and analyzed in the current study are available in the China Rural Revitalization Survey (CRRS);Insights e Dados para Participação Cidadã;conducted by Rural Development Institute, Chinese Academy of Social Sciences;China;The data collected and analyzed in the current study are available;implementado em produção;Data utilized for research analysis in the current study.;Provided evidence for the study of government performance, political trust, and rural development strategies.;Survey conducted by Rural Development Institute;individual;none;nenhum;none;nenhum;Rural Development Institute, Chinese Academy of Social Sciences;2023;China Rural Revitalization Survey (CRRS);Rural Development Institute, Chinese Academy of Social Sciences. (2023). China Rural Revitalization Survey (CRRS). http://rdi.cass.cn/dcsj/202306/t20230607_5643271.shtml;2,02605E+13;New Prompt;Zhao et al. - 2025 - How WeChat groups enhance political trust in rural China evidence from the China Rural Revitalizati.pdf_part_006;12000;gemini-3.1-flash-lite-preview;;
WeChat (in government context);Social and messaging application used as a digital platform for public service information, government transparency, and social interaction in rural and urban China.;"WeChat: social and political development of China’s dominant messaging app; E-government use, perceived transparency, public knowledge of government performance";"Comunicação/Whatsapp; Canal inteligente de serviços; Cidadania Digital";"Chin J Commun; evidence from China";China;WeChat adoption among older adults and urban-rural differences in China;implementado em produção;How WeChat can retain users: roles of network externalities, social interaction ties, and perceived values in building continuance intention.;Facilitates information dissemination, social interaction, and potential enhancement of transparency in government operations.;Network structure matters: unpacking associations among informational WeChat use, network heterogeneity, network capital, and civic involvement;coletiva;"Information and interactions; social media influences resident participation in rural tourism development";Os cidadãos utilizam a plataforma para interagir com o governo e participar do desenvolvimento local (ex: turismo rural), compartilhando informações e construindo redes de colaboração.;none;nenhum;Harwit E;2017;WeChat: social and political development of China’s dominant messaging app;Harwit, E. (2017). WeChat: social and political development of China’s dominant messaging app. Chin J Commun, 10(3), 312-327.;2,02605E+13;New Prompt;Zhao et al. - 2025 - How WeChat groups enhance political trust in rural China evidence from the China Rural Revitalizati.pdf_part_006;12000;gemini-3.1-flash-lite-preview;;
CRRS (China Rural Research Survey);Base de dados e plataforma de pesquisa utilizada como fonte para o estudo acadêmico, servindo de suporte para análise de dados.;Ethical approval was not applicable, this study used the CRRS: http://rdi.cass.cn/dcsj/202306/t20230607_5643271.shtml.;Insights e Dados para Participação Cidadã;http://rdi.cass.cn/dcsj/;China;This article does not contain any studies with human participants performed by any of the authors.;implementado em produção;This study used the CRRS;A base de dados CRRS foi utilizada para fundamentar a pesquisa científica, permitindo a geração de conhecimento acadêmico que contribui para o debate público e a tomada de decisão baseada em evidências.;This article does not contain any studies with human participants performed by any of the authors.;nenhum;This article does not contain any studies with human participants performed by any of the authors.;nenhum;;nenhum;LZ, XM, CH, SJ;2025;HUMANITIES AND SOCIAL SCIENCES COMMUNICATIONS;"LZ, XM, CH, SJ. Humanities and Social Sciences Communications. 2025; 12:1209. https://doi.org/10.1057/s41599-025-05331-8";2,02605E+13;New Prompt;Zhao et al. - 2025 - How WeChat groups enhance political trust in rural China evidence from the China Rural Revitalizati.pdf_part_007;2202;gemini-3.1-flash-lite-preview;;
Conversational agents (Chatbots);Conversational agents that support citizen interaction and AI-driven administrative transformation.;From predictive analytics that enhance strategic foresight to conversational agents that support citizen interaction, AI technologies are increasingly embedded in the machinery of governance.;"Canal inteligente de serviços; Automatização e IA; Governança Digital";Governments at all levels local, regional, and national are thus confronted with the dual imperative of fostering innovation while safeguarding legitimacy and democratic values.;"global; local; regional; national";From predictive analytics that enhance strategic foresight to conversational agents that support citizen interaction, AI technologies are increasingly embedded in the machinery of governance.;implementado em produção;These transformations promise significant gains in efficiency, transparency, and responsiveness, yet they also pose complex challenges related to ethics, legality, institutional accountability, and public trust.;Aumento na eficiência, transparência e responsividade administrativa. Criação de valor público através da melhoria no suporte à interação com o cidadão, apesar dos riscos associados à accountability.;conversational agents that support citizen interaction;individual;AI-driven administrative transformation... support citizen interaction;Cidadãos interagem via agentes conversacionais, permitindo uma coprodução de serviços públicos através do engajamento digital e automação da prestação de serviços.;nenhum;nenhum;Dragan Čišić, Saša Drezgić, Vesna Buterin, Ivan Gržeta, Božidar Kovačić, Patrizia Poščić, Francesco Molinari, Gianluca Carlo Misuraca;2026;Semantic Mapping of AI-for-Government Research: Uncovering the Knowledge Architecture of Digital-Era Governance;ČIŠIĆ, Dragan et al. Semantic Mapping of AI-for-Government Research: Uncovering the Knowledge Architecture of Digital-Era Governance. Adm. Sci., Basel, v. 16, n. 19, 2026.;2,02605E+13;New Prompt;Čišić et al. - 2026 - Semantic Mapping of AI-for-Government Research Uncovering the Knowledge Architecture of Digital-Era.pdf_part_000;12000;gemini-3.1-flash-lite-preview;;
Predictive analytics for policy foresight;Predictive analytics tools used to enhance strategic foresight in government and public administration.;From predictive analytics that enhance strategic foresight to conversational agents that support citizen interaction;"Automatização e IA; Insights e Dados para Participação Cidadã; Governança Digital";Governments at all levels local, regional, and national;"global; local; regional; national";AI technologies are increasingly embedded in the machinery of governance.;implementado em produção;These transformations promise significant gains in efficiency, transparency, and responsiveness;Refinamento da tomada de decisão estratégica através da antecipação de cenários, otimizando o planejamento de políticas públicas.;nenhum;nenhum;nenhum;nenhum;nenhum;nenhum;Dragan Čišić, Saša Drezgić, Vesna Buterin, Ivan Gržeta, Božidar Kovačić, Patrizia Poščić, Francesco Molinari, Gianluca Carlo Misuraca;2026;Semantic Mapping of AI-for-Government Research: Uncovering the Knowledge Architecture of Digital-Era Governance;ČIŠIĆ, Dragan et al. Semantic Mapping of AI-for-Government Research: Uncovering the Knowledge Architecture of Digital-Era Governance. Adm. Sci., Basel, v. 16, n. 19, 2026.;2,02605E+13;New Prompt;Čišić et al. - 2026 - Semantic Mapping of AI-for-Government Research Uncovering the Knowledge Architecture of Digital-Era.pdf_part_000;12000;gemini-3.1-flash-lite-preview;;
Participatory Governance Frameworks for AI;Mechanisms that integrate stakeholder participation and citizen involvement into AI governance to ensure alignment with public values and legitimacy.;The study also pointed out that ethical and participatory aspects, such as how citizens are involved in AI governance, remain under, researched (Yigitcanlar et al., 2024).;"Coprodução de Valor Público; Insights e Dados para Participação Cidadã";The study also pointed out that ethical and participatory aspects...;"continente; país; cidade";We now understand that AI can enhance efficiency, transparency, and state capacity, but only if it is implemented responsibly.;implementado com resultados de coprodução ou impacto de valor público;;The integration of participatory governance fosters both trust and innovation, moving discussion from promise to practice by aligning AI implementation with public values.;Legitimacy depends on... developing participatory governance that fosters both trust and innovation;coletiva;Schmager et al. (2024) found that citizens tend to support AI in public services... when humans remain in control of key decisions.;Citizens participate by providing trust-based support and maintaining human oversight, ensuring that individual and collective benefits are balanced.;nenhum;nenhum;Yigitcanlar et al.;2024;Not specified;Yigitcanlar, T., et al. (2024). A five-decade scientometric analysis of AI in local government.;2,02605E+13;New Prompt;Čišić et al. - 2026 - Semantic Mapping of AI-for-Government Research Uncovering the Knowledge Architecture of Digital-Era.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
